"X","species","longitude","latitude"
1,"Dermatobia hominis",-75.818306,4.843426
2,"Dermatobia hominis",-84.723733,10.466867
3,"Dermatobia hominis",-75.567158,6.260873
4,"Dermatobia hominis",-54.108403,-26.631966
5,"Dermatobia hominis",-74.794009,6.777925
6,"Dermatobia hominis",-88.876973,17.1423
7,"Dermatobia hominis",-63.907649,-8.731071
8,"Dermatobia hominis",-42.541556,-20.926211
9,"Dermatobia hominis",-74.892883,2.140989
10,"Dermatobia hominis",-88.458824,16.780794
11,"Dermatobia hominis",-41.918442,-18.575542
12,"Dermatobia hominis",-88.593587,17.129225
13,"Dermatobia hominis",-85.223282,9.959587
15,"Dermatobia hominis",-54.016732,-27.200145
16,"Dermatobia hominis",-46.587834,-23.667061
17,"Dermatobia hominis",-53.645269,-25.788372
18,"Dermatobia hominis",-47.057784,-23.460748
19,"Dermatobia hominis",-77.684681,7.782011
20,"Dermatobia hominis",-46.686489,-23.332557
21,"Dermatobia hominis",-70.293757,-4.289181
22,"Dermatobia hominis",-90.966719,16.899705
23,"Dermatobia hominis",-95.233333,16.333333
24,"Dermatobia hominis",-53.857489,-25.776396
25,"Dermatobia hominis",-88.705846,16.554826
26,"Dermatobia hominis",-77.091839,0.650873
27,"Dermatobia hominis",-71.391822,-12.789258
28,"Dermatobia hominis",-90.940741,16.112511
30,"Dermatobia hominis",-85.01179,10.718105
32,"Dermatobia hominis",-77.416667,-1
34,"Dermatobia hominis",-82.422641,8.600958
35,"Dermatobia hominis",-44.822558,-20.700924
36,"Dermatobia hominis",-63.6,-18.1
37,"Dermatobia hominis",-55.931335,-9.597507
39,"Dermatobia hominis",-44.553565,-22.395782
40,"Dermatobia hominis",-55.592873,-27.385086
41,"Dermatobia hominis",-55.428043,-28.0376
42,"Dermatobia hominis",-51.90006,-27.147765
47,"Dermatobia hominis",-74.380305,5.069457
48,"Dermatobia hominis",-79.758651,-0.335559
49,"Dermatobia hominis",-52.38,-27.18
50,"Dermatobia hominis",-84,10.45
52,"Dermatobia hominis",-88.6521,17.7641
53,"Dermatobia hominis",-88.409752,17.449989
54,"Dermatobia hominis",-78.631088,-3.74997
55,"Dermatobia hominis",-88.785531,16.808892
56,"Dermatobia hominis",-51.709783,-23.352618
57,"Dermatobia hominis",-91.06361,16.70722
58,"Dermatobia hominis",-70.099977,-12.569511
59,"Dermatobia hominis",-95.413889,17.353333
60,"Dermatobia hominis",-91.982222,17.509167
61,"Dermatobia hominis",-92.096111,16.907222
62,"Dermatobia hominis",-93.116111,17.973333
64,"Dermatobia hominis",-89.0645,17.157356
65,"Dermatobia hominis",-54.072368,-25.589227
66,"Dermatobia hominis",-83.003427,9.633361
67,"Dermatobia hominis",-84.79662,10.276723
68,"Dermatobia hominis",-83.742005,10.64405
72,"Dermatobia hominis",-83.944055,9.455266
75,"Dermatobia hominis",-85.470423,10.930083
76,"Dermatobia hominis",-83.454259,9.981348
87,"Dermatobia hominis",-84.553306,10.232228
88,"Dermatobia hominis",-83.499073,8.562878
89,"Dermatobia hominis",-84.608124,9.774233
95,"Dermatobia hominis",-83.263799,8.979096
96,"Dermatobia hominis",-84.749598,10.955344
100,"Dermatobia hominis",-84.094391,9.973625
101,"Dermatobia hominis",-44.3180999755859,-23.0067005157471
102,"Dermatobia hominis",-44.1356010437012,-22.7231006622314
103,"Dermatobia hominis",-56.0043983459473,-28.6606006622314
104,"Dermatobia hominis",-53.616667,-20.45
105,"Dermatobia hominis",-90.25,15.5
106,"Dermatobia hominis",-90.523611,14.631667
107,"Dermatobia hominis",-49.2,-21.816667
108,"Dermatobia hominis",-47.060833,-22.905833
109,"Dermatobia hominis",-42.628889,-19.518889
110,"Dermatobia hominis",-67.5,-12.5
111,"Dermatobia hominis",-41.955922,-18.854931
112,"Dermatobia hominis",-45.35825,-18.6039
113,"Dermatobia hominis",-44.051475,-19.635492
114,"Dermatobia hominis",-47.947678,-19.738761
115,"Dermatobia hominis",-39.216667,-14.766667
116,"Dermatobia hominis",-54.543269,-21.8047
117,"Dermatobia hominis",-47.883333,-22.016667
118,"Dermatobia hominis",-49.264994,-16.690622
119,"Dermatobia hominis",-44.431864,-19.890689
120,"Dermatobia hominis",-54.616667,-20.45
122,"Dermatobia hominis",-55.780369,-27.77005
123,"Dermatobia hominis",-43.905858,-22.626297
124,"Dermatobia hominis",-43.777908,-22.863192
126,"Dermatobia hominis",-43.461206,-22.756708
127,"Dermatobia hominis",-43.660747,-22.645078
128,"Dermatobia hominis",-56.366667,-14.66667
129,"Dermatobia hominis",-47.648889,-22.725
133,"Dermatobia hominis",-48.373889,-23.080833
134,"Dermatobia hominis",-48.126944,-22.788889
135,"Dermatobia hominis",-71.1875,8.584444
136,"Dermatobia hominis",-43.207778,-22.902778
137,"Dermatobia hominis",-44.308889,-21.74
138,"Dermatobia hominis",-52.342778,-31.771944
139,"Dermatobia hominis",-50.230833,-26.461944
140,"Dermatobia hominis",-43.662778,-22.403889
141,"Dermatobia hominis",-74.466667,4.283333
142,"Dermatobia hominis",-42.881944,-20.753889
144,"Dermatobia hominis",-48.770014,-15.780014
147,"Dermatobia hominis",-43.433333,-22.583333
148,"Dermatobia hominis",-53.806944,-29.683889
149,"Dermatobia hominis",-91.147222,15.408333
150,"Dermatobia hominis",-44.29995,-20.071189
151,"Dermatobia hominis",-75.016667,6.3
152,"Dermatobia hominis",-53.079203,-32.237017
153,"Dermatobia hominis",-61.898061,-11.1718
154,"Dermatobia hominis",-74.196322,-13.177411
155,"Dermatobia hominis",-42.1,-22.833333
158,"Dermatobia hominis",-67.334444,-15.558889
159,"Dermatobia hominis",-48.505,-24.755833
160,"Dermatobia hominis",-42.855833,-22.7475
161,"Dermatobia hominis",-54.270833,-23.888056
162,"Dermatobia hominis",-86.283333,13.216667
163,"Dermatobia hominis",-67.476944,-14.363611
165,"Dermatobia hominis",-85.616667,12.733333
166,"Dermatobia hominis",-44.28115,-22.182925
168,"Dermatobia hominis",-45.533333,-22.8
173,"Dermatobia hominis",-50.15,-25.0833
175,"Dermatobia hominis",-54.1166,-25.9833
177,"Dermatobia hominis",-84.0166,10.7166
178,"Dermatobia hominis",-85.0666,11.0666
180,"Dermatobia hominis",-92.6333,17.85
182,"Dermatobia hominis",-93.6664,18.2721
183,"Dermatobia hominis",-85.65,11.2
186,"Dermatobia hominis",-84.1058,11.1083
187,"Dermatobia hominis",-85.6666,11.4666
188,"Dermatobia hominis",-85.0166,10.2833
190,"Dermatobia hominis",-95.6833,17.5833
191,"Dermatobia hominis",-85.25,11.6
195,"Dermatobia hominis",-92.1666,17.5166
196,"Dermatobia hominis",-83.6,9.8666
198,"Dermatobia hominis",-83.4333,9.6333
200,"Dermatobia hominis",-85.3166,10.5
201,"Dermatobia hominis",-85.95,11.45
203,"Dermatobia hominis",-48.508889,-25.52
204,"Dermatobia hominis",-80.866667,-2.216667
205,"Dermatobia hominis",-48.445,-22.885833
207,"Dermatobia hominis",-69.712778,11.105556
208,"Dermatobia hominis",-55.896944,-27.366667
209,"Dermatobia hominis",-41.933333,-18.083333
210,"Dermatobia hominis",-52.75,-31.333333
211,"Dermatobia hominis",-50.639281,-27.567969
213,"Dermatobia hominis",-49.4481,-16.909153
214,"Dermatobia hominis",-49.020525,-17.305442
215,"Dermatobia hominis",-45.948161,-21.426114
216,"Dermatobia hominis",-45.618,-22.473872
218,"Dermatobia hominis",-49.655539,-22.213164
219,"Dermatobia hominis",-47.208956,-23.088647
220,"Dermatobia hominis",-45.662744,-23.3902
221,"Dermatobia hominis",-46.359817,-23.053036
222,"Dermatobia hominis",-47.426194,-21.996464
223,"Dermatobia hominis",-51.393025,-22.121114
225,"Dermatobia hominis",-76.134167,6.315556
226,"Dermatobia hominis",-75.611667,1.614167
227,"Dermatobia hominis",-73.64,4.15
228,"Dermatobia hominis",-73.25,-3.75
229,"Dermatobia hominis",-77.464444,8.256111
230,"Dermatobia hominis",-89.616667,17.216667
231,"Dermatobia hominis",-56.015278,-25.469722
232,"Dermatobia hominis",-46.802778,-21.298889
233,"Dermatobia hominis",-74.075833,4.598056
234,"Dermatobia hominis",-81.823889,8.186389
235,"Dermatobia hominis",-79.765,9.053889
236,"Dermatobia hominis",-47.8125,-15.799444
237,"Dermatobia hominis",-62.424167,4.964167
240,"Dermatobia hominis",-53.817783,-25.460508
241,"Dermatobia hominis",-86.570356,14.041094
